updated,md5sum,filesize,original_filename,archive_filename,airmass,ra_range,dec_range,ra,dec,ifilter,seeing,depth,exposure,expnum,obs_night,date_obs,pi_ids,pi,prop_id,release_date,instrument,telescope,site,obs_mode,obs_type,object,proc_type,prod_type,survey,caldat,collections
2024-05-10T08:42:25.949044+0000,76af1d58e9474317835e7d8c550fa407,268165440,/data_local/images/DTS/2023B-851374/DECam_01291961.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_011427_oow_r_v1.fits.fz,1.15,"{'gte': 125.06141666666666, 'lte': 125.06141666676666}","{'gte': -35.22386111111111, 'lte': -35.22386111101111}",125.06141666666666,-35.22386111111111,r DECam SDSS c0002 6415.0 1480.0,1.29,22.67,60.0,1291961,2024-04-24,2024-04-24T01:14:27.365307+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS DELVE-12414-1,instcal,wtmap,,2024-04-23,"[None, None]"
2024-05-10T09:33:57.119827+0000,76da342bd8e11e19ceacbad45fcdaae1,327346560,/data_local/images/DTS/2023B-851374/DECam_01292024.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_031528_ooi_z_v1.fits.fz,1.93,"{'gte': 121.09837499999998, 'lte': 121.09837500009998}","{'gte': -29.920833333333334, 'lte': -29.920833333233336}",121.09837499999998,-29.920833333333334,z DECam SDSS c0004 9260.0 1520.0,1.61,22.36,60.0,1292024,2024-04-24,2024-04-24T03:15:28.591167+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T12:26:22.928277+0000,7a8994b6f1ee89d3a152ddc051065fef,5546880,/data_local/images/DTS/2023B-851374/DECam_01291309.fits.fz,/net/archive/pipe/20240422/ct4m/2023B-851374/c4d_240423_003809_ood_r_v1.fits.fz,1.11,"{'gte': 119.82345833333332, 'lte': 119.82345833343332}","{'gte': -37.02772222222222, 'lte': -37.02772222212222}",119.82345833333332,-37.02772222222222,r DECam SDSS c0002 6415.0 1480.0,1.49,22.58,60.0,1291309,2024-04-23,2024-04-23T00:38:09.295502+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-22,decam,ct4m,ct,,object,GWMMADS DELVE-12398-1,instcal,dqmask,,2024-04-22,"[None, None]"
2024-05-10T09:28:38.702458+0000,777a9a4c8ef81d2ce2f42c4cc14c23d1,328464000,/data_local/images/DTS/2023B-851374/DECam_01292017.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_030404_ooi_z_v1.fits.fz,1.96,"{'gte': 118.51308333333333, 'lte': 118.51308333343333}","{'gte': -27.827833333333334, 'lte': -27.827833333233336}",118.51308333333333,-27.827833333333334,z DECam SDSS c0004 9260.0 1520.0,1.63,22.54,80.0,1292017,2024-04-24,2024-04-24T03:04:04.535652+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T01:36:03.831623+0000,7791bacf1f9487e419c8da48af9ed1b7,332118720,/data_local/images/DTS/2023B-851374/DECam_01292269.fits.fz,/net/archive/pipe/20240424/ct4m/2023B-851374/c4d_240425_000651_ooi_r_v1.fits.fz,1.1,"{'gte': 117.48191666666665, 'lte': 117.48191666676665}","{'gte': -24.637694444444445, 'lte': -24.637694444344447}",117.48191666666665,-24.637694444444445,r DECam SDSS c0002 6415.0 1480.0,1.02,23.34,60.0,1292269,2024-04-25,2024-04-25T00:06:51.942119+0000,"[14769, 18747]",Andreoni,2023B-851374,2024-04-24,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-24,"[None, None]"
2024-05-10T09:46:08.714391+0000,7aaf1e59ae94489f3ecd6882d48f86ef,6572160,/data_local/images/DTS/2023B-851374/DECam_01292040.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_034121_ood_z_v1.fits.fz,1.95,"{'gte': 125.05920833333334, 'lte': 125.05920833343335}","{'gte': -35.222972222222225, 'lte': -35.22297222212222}",125.05920833333334,-35.222972222222225,z DECam SDSS c0004 9260.0 1520.0,1.64,22.42,60.0,1292040,2024-04-24,2024-04-24T03:41:21.235337+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS DELVE-12414-1,instcal,dqmask,,2024-04-23,"[None, None]"
2024-05-10T08:00:31.058183+0000,7ad7c2c1e7fd8ab5757955d4a65868db,267736320,/data_local/images/DTS/2023B-851374/DECam_01291915.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240423_235907_oow_r_v1.fits.fz,1.07,"{'gte': 119.21958333333333, 'lte': 119.21958333343333}","{'gte': -21.980361111111108, 'lte': -21.98036111101111}",119.21958333333333,-21.980361111111108,r DECam SDSS c0002 6415.0 1480.0,1.15,22.93,60.0,1291915,2024-04-23,2024-04-23T23:59:07.039941+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,wtmap,,2024-04-23,"[None, None]"
2024-05-10T09:00:19.281339+0000,77d7288381602646c3e1239adc485544,322122240,/data_local/images/DTS/2023B-851374/DECam_01291984.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_015659_ooi_z_gw.fits.fz,1.33,"{'gte': 126.43351666666665, 'lte': 126.43351666676665}","{'gte': -19.253, 'lte': -19.252999999900002}",126.43351666666665,-19.253,z DECam SDSS c0004 9260.0 1520.0,1.21,,80.0,1291984,2024-04-24,2024-04-24T01:56:59.537752+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T08:34:41.524051+0000,baaabfdc17cf7ef39d2d5da548c84619,323726400,/data_local/images/DTS/2023B-851374/DECam_01291952.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_005943_ooi_r_v1.fits.fz,1.19,"{'gte': 118.094625, 'lte': 118.0946250001}","{'gte': -32.12711111111111, 'lte': -32.12711111101111}",118.094625,-32.12711111111111,r DECam SDSS c0002 6415.0 1480.0,1.21,22.75,60.0,1291952,2024-04-24,2024-04-24T00:59:43.385384+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
2024-05-10T09:19:59.634007+0000,badb0551f602c8c5887bd63b537d9cd1,324443520,/data_local/images/DTS/2023B-851374/DECam_01292006.fits.fz,/net/archive/pipe/20240423/ct4m/2023B-851374/c4d_240424_024225_ooi_z_v1.fits.fz,1.55,"{'gte': 125.61595833333332, 'lte': 125.61595833343333}","{'gte': -24.82236111111111, 'lte': -24.822361111011112}",125.61595833333332,-24.82236111111111,z DECam SDSS c0004 9260.0 1520.0,1.58,22.31,80.0,1292006,2024-04-24,2024-04-24T02:42:25.721250+0000,"[18747, 14769]",Andreoni,2023B-851374,2024-04-23,decam,ct4m,ct,,object,GWMMADS,instcal,image,,2024-04-23,"[None, None]"
