mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.5,1.7,0.8,0.0,0.091,0.091,1.744,1.833,0.0,H4,0.0
2.5,1.8,-0.3,0.0,0.0,0.0,1.798,1.886,0.0,H4,0.0
2.5,1.8,0.0,0.0,0.0,0.0,1.798,1.886,0.0,H4,0.0
2.5,1.8,0.3,0.0,0.006,0.006,1.798,1.886,0.0,H4,0.0
2.5,1.8,0.8,0.0,0.079,0.079,1.798,1.886,0.0,H4,0.0
2.5,1.9,-0.3,0.0,0.0,0.0,1.85,1.938,0.0,H4,0.0
2.5,1.9,0.0,0.0,0.0,0.0,1.85,1.938,0.0,H4,0.0
2.5,1.9,0.3,0.0,0.0,0.0,1.85,1.938,0.0,H4,0.0
2.5,1.9,0.8,0.0,0.063,0.063,1.85,1.938,0.0,H4,0.0
2.5,2.0,-0.3,0.0,0.0,0.0,1.9,1.988,0.0,H4,0.0
2.5,2.0,0.0,0.0,0.0,0.0,1.9,1.988,0.0,H4,0.0
2.5,2.0,0.3,0.0,0.0,0.0,1.9,1.988,0.0,H4,0.0
2.5,2.0,0.8,0.0,0.042,0.042,1.9,1.988,0.0,H4,0.0
2.6,1.2,-0.3,0.019,0.018,0.038,1.468,1.563,0.0,H4,0.0
2.6,1.2,0.0,0.026,0.035,0.061,1.468,1.563,0.0,H4,0.0
2.6,1.2,0.3,0.033,0.059,0.092,1.468,1.563,0.0,H4,0.0
2.6,1.2,0.8,0.047,0.121,0.168,1.468,1.563,0.0,H4,0.0
2.6,1.3,-0.3,0.01,0.011,0.021,1.535,1.628,0.0,H4,0.0
2.6,1.3,0.0,0.016,0.027,0.043,1.535,1.628,0.0,H4,0.0
2.6,1.3,0.3,0.022,0.051,0.074,1.535,1.628,0.0,H4,0.0
2.6,1.3,0.8,0.036,0.118,0.154,1.535,1.628,0.0,H4,0.0
2.6,1.4,-0.3,0.0,0.005,0.005,1.599,1.691,0.0,H4,0.0
2.6,1.4,0.0,0.006,0.019,0.026,1.599,1.691,0.0,H4,0.0
2.6,1.4,0.3,0.013,0.043,0.056,1.599,1.691,0.0,H4,0.0
2.6,1.4,0.8,0.026,0.113,0.139,1.599,1.691,0.0,H4,0.0
2.6,1.5,-0.3,0.0,0.0,0.0,1.661,1.752,0.0,H4,0.0
2.6,1.5,0.0,0.0,0.012,0.012,1.661,1.752,0.0,H4,0.0
2.6,1.5,0.3,0.003,0.034,0.037,1.661,1.752,0.0,H4,0.0
2.6,1.5,0.8,0.016,0.107,0.123,1.661,1.752,0.0,H4,0.0
2.6,1.6,-0.3,0.0,0.0,0.0,1.72,1.81,0.0,H4,0.0
2.6,1.6,0.0,0.0,0.005,0.005,1.72,1.81,0.0,H4,0.0
2.6,1.6,0.3,0.0,0.024,0.024,1.72,1.81,0.0,H4,0.0
2.6,1.6,0.8,0.006,0.1,0.106,1.72,1.81,0.0,H4,0.0
2.6,1.7,-0.3,0.0,0.0,0.0,1.777,1.867,0.0,H4,0.0
2.6,1.7,0.0,0.0,0.0,0.0,1.777,1.867,0.0,H4,0.0
2.6,1.7,0.3,0.0,0.015,0.015,1.777,1.867,0.0,H4,0.0
2.6,1.7,0.8,0.0,0.09,0.09,1.777,1.867,0.0,H4,0.0
2.6,1.8,-0.3,0.0,0.0,0.0,1.833,1.921,0.0,H4,0.0
2.6,1.8,0.0,0.0,0.0,0.0,1.833,1.921,0.0,H4,0.0
2.6,1.8,0.3,0.0,0.006,0.006,1.833,1.921,0.0,H4,0.0
2.6,1.8,0.8,0.0,0.078,0.078,1.833,1.921,0.0,H4,0.0
2.6,1.9,-0.3,0.0,0.0,0.0,1.886,1.974,0.0,H4,0.0
2.6,1.9,0.0,0.0,0.0,0.0,1.886,1.974,0.0,H4,0.0
2.6,1.9,0.3,0.0,0.0,0.0,1.886,1.974,0.0,H4,0.0
2.6,1.9,0.8,0.0,0.063,0.063,1.886,1.974,0.0,H4,0.0
2.6,2.0,-0.3,0.0,0.0,0.0,1.938,2.026,0.0,H4,0.0
2.6,2.0,0.0,0.0,0.0,0.0,1.938,2.026,0.0,H4,0.0
2.6,2.0,0.3,0.0,0.0,0.0,1.938,2.026,0.0,H4,0.0
2.6,2.0,0.8,0.0,0.041,0.041,1.938,2.026,0.0,H4,0.0
2.7,1.2,-0.3,0.02,0.017,0.037,1.494,1.59,0.0,H4,0.0
2.7,1.2,0.0,0.027,0.034,0.061,1.494,1.59,0.0,H4,0.0
2.7,1.2,0.3,0.034,0.058,0.092,1.494,1.59,0.0,H4,0.0
2.7,1.2,0.8,0.049,0.12,0.17,1.494,1.59,0.0,H4,0.0
2.7,1.3,-0.3,0.01,0.01,0.02,1.563,1.657,0.0,H4,0.0
2.7,1.3,0.0,0.016,0.026,0.043,1.563,1.657,0.0,H4,0.0
2.7,1.3,0.3,0.023,0.05,0.074,1.563,1.657,0.0,H4,0.0
2.7,1.3,0.8,0.038,0.117,0.155,1.563,1.657,0.0,H4,0.0
2.7,1.4,-0.3,0.0,0.005,0.005,1.628,1.721,0.0,H4,0.0
2.7,1.4,0.0,0.007,0.018,0.025,1.628,1.721,0.0,H4,0.0
2.7,1.4,0.3,0.013,0.042,0.055,1.628,1.721,0.0,H4,0.0
2.7,1.4,0.8,0.027,0.113,0.14,1.628,1.721,0.0,H4,0.0
2.7,1.5,-0.3,0.0,0.0,0.0,1.691,1.783,0.0,H4,0.0
2.7,1.5,0.0,0.0,0.011,0.011,1.691,1.783,0.0,H4,0.0
2.7,1.5,0.3,0.004,0.033,0.037,1.691,1.783,0.0,H4,0.0
2.7,1.5,0.8,0.017,0.107,0.124,1.691,1.783,0.0,H4,0.0
2.7,1.6,-0.3,0.0,0.0,0.0,1.752,1.842,0.0,H4,0.0
2.7,1.6,0.0,0.0,0.004,0.004,1.752,1.842,0.0,H4,0.0
2.7,1.6,0.3,0.0,0.023,0.023,1.752,1.842,0.0,H4,0.0
2.7,1.6,0.8,0.008,0.099,0.106,1.752,1.842,0.0,H4,0.0
2.7,1.7,-0.3,0.0,0.0,0.0,1.81,1.9,0.0,H4,0.0
2.7,1.7,0.0,0.0,0.0,0.0,1.81,1.9,0.0,H4,0.0
2.7,1.7,0.3,0.0,0.014,0.014,1.81,1.9,0.0,H4,0.0
2.7,1.7,0.8,0.0,0.089,0.089,1.81,1.9,0.0,H4,0.0
2.7,1.8,-0.3,0.0,0.0,0.0,1.867,1.956,0.0,H4,0.0
2.7,1.8,0.0,0.0,0.0,0.0,1.867,1.956,0.0,H4,0.0
2.7,1.8,0.3,0.0,0.006,0.006,1.867,1.956,0.0,H4,0.0
2.7,1.8,0.8,0.0,0.077,0.077,1.867,1.956,0.0,H4,0.0
2.7,1.9,-0.3,0.0,0.0,0.0,1.921,2.01,0.0,H4,0.0
2.7,1.9,0.0,0.0,0.0,0.0,1.921,2.01,0.0,H4,0.0
2.7,1.9,0.3,0.0,0.0,0.0,1.921,2.01,0.0,H4,0.0
2.7,1.9,0.8,0.0,0.062,0.062,1.921,2.01,0.0,H4,0.0
2.7,2.0,-0.3,0.0,0.0,0.0,1.974,2.063,0.0,H4,0.0
2.7,2.0,0.0,0.0,0.0,0.0,1.974,2.063,0.0,H4,0.0
2.7,2.0,0.3,0.0,0.0,0.0,1.974,2.063,0.0,H4,0.0
2.7,2.0,0.8,0.0,0.041,0.041,1.974,2.063,0.0,H4,0.0
2.8,1.2,-0.3,0.02,0.016,0.036,1.52,1.616,0.0,H4,0.0
2.8,1.2,0.0,0.027,0.033,0.06,1.52,1.616,0.0,H4,0.0
2.8,1.2,0.3,0.035,0.057,0.092,1.52,1.616,0.0,H4,0.0
2.8,1.2,0.8,0.051,0.12,0.171,1.52,1.616,0.0,H4,0.0
2.8,1.3,-0.3,0.01,0.01,0.019,1.59,1.684,0.0,H4,0.0
2.8,1.3,0.0,0.017,0.025,0.042,1.59,1.684,0.0,H4,0.0
2.8,1.3,0.3,0.024,0.049,0.073,1.59,1.684,0.0,H4,0.0
2.8,1.3,0.8,0.04,0.117,0.156,1.59,1.684,0.0,H4,0.0
2.8,1.4,-0.3,0.0,0.004,0.004,1.657,1.75,0.0,H4,0.0
2.8,1.4,0.0,0.007,0.018,0.024,1.657,1.75,0.0,H4,0.0
2.8,1.4,0.3,0.014,0.041,0.055,1.657,1.75,0.0,H4,0.0
2.8,1.4,0.8,0.029,0.112,0.141,1.657,1.75,0.0,H4,0.0
2.8,1.5,-0.3,0.0,0.0,0.0,1.721,1.813,0.0,H4,0.0
2.8,1.5,0.0,0.0,0.01,0.01,1.721,1.813,0.0,H4,0.0
2.8,1.5,0.3,0.005,0.032,0.036,1.721,1.813,0.0,H4,0.0
2.8,1.5,0.8,0.019,0.106,0.125,1.721,1.813,0.0,H4,0.0
2.8,1.6,-0.3,0.0,0.0,0.0,1.783,1.874,0.0,H4,0.0
2.8,1.6,0.0,0.0,0.004,0.004,1.783,1.874,0.0,H4,0.0
2.8,1.6,0.3,0.0,0.023,0.023,1.783,1.874,0.0,H4,0.0
2.8,1.6,0.8,0.009,0.098,0.107,1.783,1.874,0.0,H4,0.0
2.8,1.7,-0.3,0.0,0.0,0.0,1.842,1.933,0.0,H4,0.0
2.8,1.7,0.0,0.0,0.0,0.0,1.842,1.933,0.0,H4,0.0
2.8,1.7,0.3,0.0,0.013,0.013,1.842,1.933,0.0,H4,0.0
2.8,1.7,0.8,0.0,0.089,0.089,1.842,1.933,0.0,H4,0.0
2.8,1.8,-0.3,0.0,0.0,0.0,1.9,1.99,0.0,H4,0.0
2.8,1.8,0.0,0.0,0.0,0.0,1.9,1.99,0.0,H4,0.0
2.8,1.8,0.3,0.0,0.005,0.005,1.9,1.99,0.0,H4,0.0
2.8,1.8,0.8,0.0,0.077,0.077,1.9,1.99,0.0,H4,0.0
2.8,1.9,-0.3,0.0,0.0,0.0,1.956,2.045,0.0,H4,0.0
2.8,1.9,0.0,0.0,0.0,0.0,1.956,2.045,0.0,H4,0.0
2.8,1.9,0.3,0.0,0.0,0.0,1.956,2.045,0.0,H4,0.0
2.8,1.9,0.8,0.0,0.061,0.061,1.956,2.045,0.0,H4,0.0
2.8,2.0,-0.3,0.0,0.0,0.0,2.01,2.099,0.0,H4,0.0
2.8,2.0,0.0,0.0,0.0,0.0,2.01,2.099,0.0,H4,0.0
2.8,2.0,0.3,0.0,0.0,0.0,2.01,2.099,0.0,H4,0.0
2.8,2.0,0.8,0.0,0.04,0.04,2.01,2.099,0.0,H4,0.0
2.9,1.2,-0.3,0.02,0.015,0.035,1.545,1.642,0.0,H4,0.0
2.9,1.2,0.0,0.028,0.032,0.06,1.545,1.642,0.0,H4,0.0
2.9,1.2,0.3,0.036,0.055,0.092,1.545,1.642,0.0,H4,0.0
2.9,1.2,0.8,0.053,0.119,0.173,1.545,1.642,0.0,H4,0.0
2.9,1.3,-0.3,0.01,0.009,0.018,1.616,1.712,0.0,H4,0.0
2.9,1.3,0.0,0.017,0.024,0.041,1.616,1.712,0.0,H4,0.0
2.9,1.3,0.3,0.025,0.048,0.073,1.616,1.712,0.0,H4,0.0
2.9,1.3,0.8,0.041,0.116,0.158,1.616,1.712,0.0,H4,0.0
2.9,1.4,-0.3,0.0,0.003,0.003,1.684,1.778,0.0,H4,0.0
2.9,1.4,0.0,0.007,0.017,0.024,1.684,1.778,0.0,H4,0.0
2.9,1.4,0.3,0.015,0.04,0.055,1.684,1.778,0.0,H4,0.0
2.9,1.4,0.8,0.03,0.112,0.142,1.684,1.778,0.0,H4,0.0
2.9,1.5,-0.3,0.0,0.0,0.0,1.75,1.843,0.0,H4,0.0
2.9,1.5,0.0,0.0,0.009,0.009,1.75,1.843,0.0,H4,0.0
2.9,1.5,0.3,0.005,0.031,0.036,1.75,1.843,0.0,H4,0.0
2.9,1.5,0.8,0.02,0.105,0.125,1.75,1.843,0.0,H4,0.0
2.9,1.6,-0.3,0.0,0.0,0.0,1.813,1.905,0.0,H4,0.0
2.9,1.6,0.0,0.0,0.003,0.003,1.813,1.905,0.0,H4,0.0
2.9,1.6,0.3,0.0,0.022,0.022,1.813,1.905,0.0,H4,0.0
2.9,1.6,0.8,0.01,0.098,0.108,1.813,1.905,0.0,H4,0.0
2.9,1.7,-0.3,0.0,0.0,0.0,1.874,1.965,0.0,H4,0.0
2.9,1.7,0.0,0.0,0.0,0.0,1.874,1.965,0.0,H4,0.0
2.9,1.7,0.3,0.0,0.013,0.013,1.874,1.965,0.0,H4,0.0
2.9,1.7,0.8,0.0,0.088,0.088,1.874,1.965,0.0,H4,0.0
2.9,1.8,-0.3,0.0,0.0,0.0,1.933,2.023,0.0,H4,0.0
2.9,1.8,0.0,0.0,0.0,0.0,1.933,2.023,0.0,H4,0.0
2.9,1.8,0.3,0.0,0.005,0.005,1.933,2.023,0.0,H4,0.0
2.9,1.8,0.8,0.0,0.076,0.076,1.933,2.023,0.0,H4,0.0
2.9,1.9,-0.3,0.0,0.0,0.0,1.99,2.079,0.0,H4,0.0
2.9,1.9,0.0,0.0,0.0,0.0,1.99,2.079,0.0,H4,0.0
2.9,1.9,0.3,0.0,0.0,0.0,1.99,2.079,0.0,H4,0.0
