mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.5,1.8,0.8,0.0,0.074,0.074,1.779,1.903,0.0,H4,0.0
2.5,2.0,-0.3,0.0,0.0,0.0,1.885,2.003,0.0,H4,0.0
2.5,2.0,0.0,0.0,0.0,0.0,1.885,2.003,0.0,H4,0.0
2.5,2.0,0.3,0.0,0.0,0.0,1.885,2.003,0.0,H4,0.0
2.5,2.0,0.8,0.0,0.039,0.039,1.885,2.003,0.0,H4,0.0
2.55,1.2,-0.3,0.019,0.017,0.036,1.427,1.575,0.0,H4,0.0
2.55,1.2,0.0,0.026,0.032,0.058,1.427,1.575,0.0,H4,0.0
2.55,1.2,0.3,0.032,0.053,0.085,1.427,1.575,0.0,H4,0.0
2.55,1.2,0.8,0.046,0.107,0.154,1.427,1.575,0.0,H4,0.0
2.55,1.4,-0.3,0.0,0.005,0.005,1.56,1.699,0.0,H4,0.0
2.55,1.4,0.0,0.006,0.018,0.024,1.56,1.699,0.0,H4,0.0
2.55,1.4,0.3,0.012,0.04,0.052,1.56,1.699,0.0,H4,0.0
2.55,1.4,0.8,0.025,0.104,0.129,1.56,1.699,0.0,H4,0.0
2.55,1.6,-0.3,0.0,0.0,0.0,1.683,1.814,0.0,H4,0.0
2.55,1.6,0.0,0.0,0.005,0.005,1.683,1.814,0.0,H4,0.0
2.55,1.6,0.3,0.0,0.023,0.023,1.683,1.814,0.0,H4,0.0
2.55,1.6,0.8,0.006,0.093,0.098,1.683,1.814,0.0,H4,0.0
2.55,1.8,-0.3,0.0,0.0,0.0,1.797,1.921,0.0,H4,0.0
2.55,1.8,0.0,0.0,0.0,0.0,1.797,1.921,0.0,H4,0.0
2.55,1.8,0.3,0.0,0.006,0.006,1.797,1.921,0.0,H4,0.0
2.55,1.8,0.8,0.0,0.073,0.073,1.797,1.921,0.0,H4,0.0
2.55,2.0,-0.3,0.0,0.0,0.0,1.903,2.022,0.0,H4,0.0
2.55,2.0,0.0,0.0,0.0,0.0,1.903,2.022,0.0,H4,0.0
2.55,2.0,0.3,0.0,0.0,0.0,1.903,2.022,0.0,H4,0.0
2.55,2.0,0.8,0.0,0.039,0.039,1.903,2.022,0.0,H4,0.0
2.6,1.2,-0.3,0.019,0.016,0.036,1.44,1.589,0.0,H4,0.0
