mass_1,mass_2,spin_1z,computeDynaEjecta,computeDiskMass,both,mchirp_min,mchirp_max,spin_2z,EOS,
2.3,1.4,0.8,0.005,0.079,0.084,1.486,1.618,0.0,SLy,0.0
2.3,1.6,-0.3,0.0,0.0,0.0,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.0,0.0,0.0,0.0,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.3,0.0,0.004,0.004,1.601,1.727,0.0,SLy,0.0
2.3,1.6,0.8,0.0,0.062,0.062,1.601,1.727,0.0,SLy,0.0
2.3,1.8,-0.3,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.0,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.3,0.0,0.0,0.0,1.708,1.828,0.0,SLy,0.0
2.3,1.8,0.8,0.0,0.039,0.039,1.708,1.828,0.0,SLy,0.0
2.3,2.0,-0.3,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.0,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.3,0.0,0.0,0.0,1.808,1.923,0.0,SLy,0.0
2.3,2.0,0.8,0.0,0.011,0.011,1.808,1.923,0.0,SLy,0.0
2.35,1.2,-0.3,0.002,0.004,0.006,1.373,1.516,0.0,SLy,0.0
2.35,1.2,0.0,0.007,0.016,0.023,1.373,1.516,0.0,SLy,0.0
2.35,1.2,0.3,0.013,0.034,0.047,1.373,1.516,0.0,SLy,0.0
2.35,1.2,0.8,0.025,0.089,0.114,1.373,1.516,0.0,SLy,0.0
2.35,1.4,-0.3,0.0,0.0,0.0,1.501,1.635,0.0,SLy,0.0
2.35,1.4,0.0,0.0,0.003,0.003,1.501,1.635,0.0,SLy,0.0
2.35,1.4,0.3,0.0,0.018,0.018,1.501,1.635,0.0,SLy,0.0
2.35,1.4,0.8,0.006,0.078,0.084,1.501,1.635,0.0,SLy,0.0
2.35,1.6,-0.3,0.0,0.0,0.0,1.618,1.744,0.0,SLy,0.0
2.35,1.6,0.0,0.0,0.0,0.0,1.618,1.744,0.0,SLy,0.0
2.35,1.6,0.3,0.0,0.003,0.003,1.618,1.744,0.0,SLy,0.0
2.35,1.6,0.8,0.0,0.061,0.061,1.618,1.744,0.0,SLy,0.0
2.35,1.8,-0.3,0.0,0.0,0.0,1.727,1.847,0.0,SLy,0.0
2.35,1.8,0.0,0.0,0.0,0.0,1.727,1.847,0.0,SLy,0.0
2.35,1.8,0.3,0.0,0.0,0.0,1.727,1.847,0.0,SLy,0.0
2.35,1.8,0.8,0.0,0.038,0.038,1.727,1.847,0.0,SLy,0.0
2.35,2.0,-0.3,0.0,0.0,0.0,1.828,1.943,0.0,SLy,0.0
2.35,2.0,0.0,0.0,0.0,0.0,1.828,1.943,0.0,SLy,0.0
2.35,2.0,0.3,0.0,0.0,0.0,1.828,1.943,0.0,SLy,0.0
2.35,2.0,0.8,0.0,0.011,0.011,1.828,1.943,0.0,SLy,0.0
2.4,1.2,-0.3,0.002,0.004,0.006,1.387,1.531,0.0,SLy,0.0
2.4,1.2,0.0,0.007,0.015,0.022,1.387,1.531,0.0,SLy,0.0
2.4,1.2,0.3,0.014,0.033,0.047,1.387,1.531,0.0,SLy,0.0
2.4,1.2,0.8,0.026,0.088,0.115,1.387,1.531,0.0,SLy,0.0
2.4,1.4,-0.3,0.0,0.0,0.0,1.516,1.651,0.0,SLy,0.0
2.4,1.4,0.0,0.0,0.003,0.003,1.516,1.651,0.0,SLy,0.0
2.4,1.4,0.3,0.0,0.017,0.017,1.516,1.651,0.0,SLy,0.0
2.4,1.4,0.8,0.006,0.078,0.084,1.516,1.651,0.0,SLy,0.0
2.4,1.6,-0.3,0.0,0.0,0.0,1.635,1.762,0.0,SLy,0.0
2.4,1.6,0.0,0.0,0.0,0.0,1.635,1.762,0.0,SLy,0.0
2.4,1.6,0.3,0.0,0.003,0.003,1.635,1.762,0.0,SLy,0.0
2.4,1.6,0.8,0.0,0.061,0.061,1.635,1.762,0.0,SLy,0.0
2.4,1.8,-0.3,0.0,0.0,0.0,1.744,1.866,0.0,SLy,0.0
2.4,1.8,0.0,0.0,0.0,0.0,1.744,1.866,0.0,SLy,0.0
2.4,1.8,0.3,0.0,0.0,0.0,1.744,1.866,0.0,SLy,0.0
2.4,1.8,0.8,0.0,0.038,0.038,1.744,1.866,0.0,SLy,0.0
2.4,2.0,-0.3,0.0,0.0,0.0,1.847,1.964,0.0,SLy,0.0
2.4,2.0,0.0,0.0,0.0,0.0,1.847,1.964,0.0,SLy,0.0
2.4,2.0,0.3,0.0,0.0,0.0,1.847,1.964,0.0,SLy,0.0
2.4,2.0,0.8,0.0,0.011,0.011,1.847,1.964,0.0,SLy,0.0
2.45,1.2,-0.3,0.002,0.004,0.005,1.4,1.546,0.0,SLy,0.0
2.45,1.2,0.0,0.008,0.015,0.022,1.4,1.546,0.0,SLy,0.0
2.45,1.2,0.3,0.014,0.033,0.047,1.4,1.546,0.0,SLy,0.0
2.45,1.2,0.8,0.027,0.088,0.115,1.4,1.546,0.0,SLy,0.0
2.45,1.4,-0.3,0.0,0.0,0.0,1.531,1.667,0.0,SLy,0.0
2.45,1.4,0.0,0.0,0.002,0.002,1.531,1.667,0.0,SLy,0.0
2.45,1.4,0.3,0.0,0.017,0.017,1.531,1.667,0.0,SLy,0.0
2.45,1.4,0.8,0.007,0.077,0.084,1.531,1.667,0.0,SLy,0.0
2.45,1.6,-0.3,0.0,0.0,0.0,1.651,1.779,0.0,SLy,0.0
2.45,1.6,0.0,0.0,0.0,0.0,1.651,1.779,0.0,SLy,0.0
2.45,1.6,0.3,0.0,0.003,0.003,1.651,1.779,0.0,SLy,0.0
2.45,1.6,0.8,0.0,0.06,0.06,1.651,1.779,0.0,SLy,0.0
2.45,1.8,-0.3,0.0,0.0,0.0,1.762,1.885,0.0,SLy,0.0
2.45,1.8,0.0,0.0,0.0,0.0,1.762,1.885,0.0,SLy,0.0
2.45,1.8,0.3,0.0,0.0,0.0,1.762,1.885,0.0,SLy,0.0
2.45,1.8,0.8,0.0,0.038,0.038,1.762,1.885,0.0,SLy,0.0
2.45,2.0,-0.3,0.0,0.0,0.0,1.866,1.983,0.0,SLy,0.0
2.45,2.0,0.0,0.0,0.0,0.0,1.866,1.983,0.0,SLy,0.0
2.45,2.0,0.3,0.0,0.0,0.0,1.866,1.983,0.0,SLy,0.0
2.45,2.0,0.8,0.0,0.01,0.01,1.866,1.983,0.0,SLy,0.0
2.5,1.2,-0.3,0.002,0.003,0.005,1.414,1.56,0.0,SLy,0.0
2.5,1.2,0.0,0.008,0.014,0.022,1.414,1.56,0.0,SLy,0.0
2.5,1.2,0.3,0.014,0.032,0.047,1.414,1.56,0.0,SLy,0.0
2.5,1.2,0.8,0.028,0.087,0.115,1.414,1.56,0.0,SLy,0.0
2.5,1.4,-0.3,0.0,0.0,0.0,1.546,1.683,0.0,SLy,0.0
2.5,1.4,0.0,0.0,0.002,0.002,1.546,1.683,0.0,SLy,0.0
2.5,1.4,0.3,0.0,0.017,0.017,1.546,1.683,0.0,SLy,0.0
2.5,1.4,0.8,0.007,0.077,0.084,1.546,1.683,0.0,SLy,0.0
2.5,1.6,-0.3,0.0,0.0,0.0,1.667,1.797,0.0,SLy,0.0
2.5,1.6,0.0,0.0,0.0,0.0,1.667,1.797,0.0,SLy,0.0
2.5,1.6,0.3,0.0,0.003,0.003,1.667,1.797,0.0,SLy,0.0
2.5,1.6,0.8,0.0,0.06,0.06,1.667,1.797,0.0,SLy,0.0
2.5,1.8,-0.3,0.0,0.0,0.0,1.779,1.903,0.0,SLy,0.0
2.5,1.8,0.0,0.0,0.0,0.0,1.779,1.903,0.0,SLy,0.0
2.5,1.8,0.3,0.0,0.0,0.0,1.779,1.903,0.0,SLy,0.0
2.5,1.8,0.8,0.0,0.037,0.037,1.779,1.903,0.0,SLy,0.0
2.5,2.0,-0.3,0.0,0.0,0.0,1.885,2.003,0.0,SLy,0.0
2.5,2.0,0.0,0.0,0.0,0.0,1.885,2.003,0.0,SLy,0.0
2.5,2.0,0.3,0.0,0.0,0.0,1.885,2.003,0.0,SLy,0.0
2.5,2.0,0.8,0.0,0.01,0.01,1.885,2.003,0.0,SLy,0.0
2.55,1.2,-0.3,0.001,0.003,0.004,1.427,1.575,0.0,SLy,0.0
2.55,1.2,0.0,0.008,0.014,0.021,1.427,1.575,0.0,SLy,0.0
2.55,1.2,0.3,0.015,0.032,0.046,1.427,1.575,0.0,SLy,0.0
2.55,1.2,0.8,0.029,0.087,0.115,1.427,1.575,0.0,SLy,0.0
2.55,1.4,-0.3,0.0,0.0,0.0,1.56,1.699,0.0,SLy,0.0
2.55,1.4,0.0,0.0,0.002,0.002,1.56,1.699,0.0,SLy,0.0
2.55,1.4,0.3,0.0,0.016,0.016,1.56,1.699,0.0,SLy,0.0
2.55,1.4,0.8,0.008,0.076,0.084,1.56,1.699,0.0,SLy,0.0
2.55,1.6,-0.3,0.0,0.0,0.0,1.683,1.814,0.0,SLy,0.0
2.55,1.6,0.0,0.0,0.0,0.0,1.683,1.814,0.0,SLy,0.0
2.55,1.6,0.3,0.0,0.003,0.003,1.683,1.814,0.0,SLy,0.0
2.55,1.6,0.8,0.0,0.059,0.059,1.683,1.814,0.0,SLy,0.0
2.55,1.8,-0.3,0.0,0.0,0.0,1.797,1.921,0.0,SLy,0.0
2.55,1.8,0.0,0.0,0.0,0.0,1.797,1.921,0.0,SLy,0.0
2.55,1.8,0.3,0.0,0.0,0.0,1.797,1.921,0.0,SLy,0.0
